TITLE	SUMMARY	POSTER	TRAILER
Alien	A biomechanical monster terrorizes a space crew in this psychological thriller.	https://upload.wikimedia.org/wikipedia/en/c/c3/Alien_movie_poster.jpg	https://www.youtube.com/watch?v=LjLamj-b0I8
Spirited Away	During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.	https://upload.wikimedia.org/wikipedia/en/3/30/Spirited_Away_poster.JPG	https://www.youtube.com/watch?v=ByXuk9QqQkk
Mad Max: Fury Road	Post-apocalyptic drifter Max reluctantly helps refugees escape from an evil warlord.	https://upload.wikimedia.org/wikipedia/en/2/23/Max_Mad_Fury_Road_Newest_Poster.jpg	https://www.youtube.com/watch?v=hEJnMQG9ev8
Ex Machina	A reclusive brogrammer asks a young engineer to administer a Turing test to a beautiful, mysterious robot.	https://upload.wikimedia.org/wikipedia/en/b/ba/Ex-machina-uk-poster.jpg	https://www.youtube.com/watch?v=bggUmgeMCdc
Paprika	When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose.	https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Paprikaposter.jpg/220px-Paprikaposter.jpg	https://www.youtube.com/watch?v=yn7U1KIGeuQ
Mean Girls	Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.	https://upload.wikimedia.org/wikipedia/en/8/8f/Mean_Girls_movie.jpg	https://www.youtube.com/watch?v=KAOmTMCtGkI
Three Colors: Blue	A woman attempts to reinvent herself in the wake of her family’s death.	https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Bluevidcov.jpg/220px-Bluevidcov.jpg	https://www.youtube.com/watch?v=Hxu6my_t4pM
Pans Labyrinth	A fairytale-obsessed girl steps into a nightmarish, magical world, set against the backdrop of the Spanish Civil War	http://ia.media-imdb.com/images/M/MV5BMTU3ODg2NjQ5NF5BMl5BanBnXkFtZTcwMDEwODgzMQ@@._V1_SX640_SY720_.jpg	https://www.youtube.com/watch?v=EqYiSlkvRuw
Hot Fuzz	Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner.	https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/HotFuzzUKposter.jpg/400px-HotFuzzUKposter.jpg	https://www.youtube.com/watch?v=ayTnvVpj9t4
13 Assassins	A group of assassins come together for a suicide mission to kill an evil lord.	https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Thirteen_Assassins.jpg/220px-Thirteen_Assassins.jpg	https://www.youtube.com/watch?v=NgPC74-Tde8
Mother	A mother desperately searches for the killer who framed her son for a girl's horrific murder.	https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Mother_film_poster.jpg/220px-Mother_film_poster.jpg	https://www.youtube.com/watch?v=0oBwQHWeYxo
Her	A lonely writer develops an unlikely relationship with his newly purchased operating system that's designed to meet his every need.	https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Her2013Poster.jpg/220px-Her2013Poster.jpg	https://www.youtube.com/watch?v=WzV6mXIOVl4
Under the Skin	A mysterious woman seduces lonely men in the evening hours in Scotland. Events lead her to begin a process of self-discovery.	https://upload.wikimedia.org/wikipedia/en/6/64/Under_the_Skin_poster.png	https://www.youtube.com/watch?v=NoSWbyvdhHw
Finding Nemo	After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.	https://upload.wikimedia.org/wikipedia/en/2/29/Finding_Nemo.jpg	https://www.youtube.com/watch?v=wZdpNglLbt8
Kill Bill	The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.	https://upload.wikimedia.org/wikipedia/en/c/cf/Kill_bill_vol_one_ver.jpg	https://www.youtube.com/watch?v=ot6C1ZKyiME
